Id,Abstract,Task 1
D02703,"In most classification tasks there are observations that are ambiguous and therefore difficult to correctly label.$$$Set-valued classifiers output sets of plausible labels rather than a single label, thereby giving a more appropriate and informative treatment to the labeling of ambiguous instances.$$$We introduce a framework for multiclass set-valued classification, where the classifiers guarantee user-defined levels of coverage or confidence (the probability that the true label is contained in the set) while minimizing the ambiguity (the expected size of the output).$$$We first derive oracle classifiers assuming the true distribution to be known.$$$We show that the oracle classifiers are obtained from level sets of the functions that define the conditional probability of each class.$$$Then we develop estimators with good asymptotic and finite sample properties.$$$The proposed estimators build on existing single-label classifiers.$$$The optimal classifier can sometimes output the empty set, but we provide two solutions to fix this issue that are suitable for various practical needs.",BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS/RESULTS METHODS/RESULTS METHODS/RESULTS METHODS/RESULTS RESULTS
D00143,"Generative models in vision have seen rapid progress due to algorithmic improvements and the availability of high-quality image datasets.$$$In this paper, we offer contributions in both these areas to enable similar progress in audio modeling.$$$First, we detail a powerful new WaveNet-style autoencoder model that conditions an autoregressive decoder on temporal codes learned from the raw audio waveform.$$$Second, we introduce NSynth, a large-scale and high-quality dataset of musical notes that is an order of magnitude larger than comparable public datasets.$$$Using NSynth, we demonstrate improved qualitative and quantitative performance of the WaveNet autoencoder over a well-tuned spectral autoencoder baseline.$$$Finally, we show that the model learns a manifold of embeddings that allows for morphing between instruments, meaningfully interpolating in timbre to create new types of sounds that are realistic and expressive.",BACKGROUND OBJECTIVES METHODS METHODS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS
D05310,This paper explains genetic algorithm for novice in this field.$$$Basic philosophy of genetic algorithm and its flowchart are described.$$$Step by step numerical computation of genetic algorithm for solving simple mathematical equality problem will be briefly explained,BACKGROUND/OBJECTIVES OBJECTIVES/METHODS METHODS/RESULTS/CONCLUSIONS
D02410,"The densification and expansion of wireless network pose new challenges on interference management and reducing energy consumption.$$$This paper studies energy-efficient resource management in heterogeneous networks by jointly optimizing cell activation, user association and multicell multiuser channel assignment, according to the long-term average traffic and channel conditions.$$$The proposed framework is built on characterizing the interference coupling by pre-defined interference patterns, and performing resource allocation among these patterns.$$$In this way, the interference fluctuation caused by (de)activating cells is explicitly taken into account when calculating the user achievable rates.$$$A tailored algorithm is developed to solve the formulated problem in the dual domain by exploiting the problem structure, which gives a significant complexity saving.$$$Numerical results show a huge improvement in energy saving achieved by the proposed scheme.$$$The user association derived from the proposed joint resource optimization is mapped to standard-compliant cell selection biasing.$$$This mapping reveals that the cell-specific biasing for energy saving is quite different from that for load balancing investigated in the literature.",BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS METHODS RESULTS
D00986,"In this paper we discuss some reasons why temporal logic might not be suitable to model real life norms.$$$To show this, we present a novel deontic logic contrary-to-duty/derived permission paradox based on the interaction of obligations, permissions and contrary-to-duty obligations.$$$The paradox is inspired by real life norms.",OBJECTIVES/RESULTS/CONCLUSIONS METHODS/RESULTS OTHERS
D03456,"This paper presents a simple, robust and (almost) unsupervised dictionary-based method, qwn-ppv (Q-WordNet as Personalized PageRanking Vector) to automatically generate polarity lexicons.$$$We show that qwn-ppv outperforms other automatically generated lexicons for the four extrinsic evaluations presented here.$$$It also shows very competitive and robust results with respect to manually annotated ones.$$$Results suggest that no single lexicon is best for every task and dataset and that the intrinsic evaluation of polarity lexicons is not a good performance indicator on a Sentiment Analysis task.$$$The qwn-ppv method allows to easily create quality polarity lexicons whenever no domain-based annotated corpora are available for a given language.",OBJECTIVES/METHODS RESULTS RESULTS CONCLUSIONS CONCLUSIONS
D04426,"We present some of the experiments we have performed to best test our design for a library for MathScheme, the mechanized mathematics software system we are building.$$$We wish for our library design to use and reflect, as much as possible, the mathematical structure present in the objects which populate the library.",OBJECTIVES OBJECTIVES
D04472,"The vision and requirements of the sixth generation (6G) mobile communication systems are expected to adopt free-space optical communication (FSO) and wireless power transfer (WPT).$$$The laser-based WPT or wireless information transfer (WIT) usually faces the challenges of mobility and safety.$$$We present here a mobile and safe resonant beam communication (RBCom) system, which can realize high-rate simultaneous wireless information and power transfer (SWIPT).$$$We propose the analytical model to depict its SWIPT procedure.$$$The numerical results show that RBCom can achieve 7.5 Gbit/s with 200 mW received optical power, which seems to connect the transmitter and the receiver with a mobile ""wireless optical fiber"".",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS/CONCLUSIONS
D06788,"A number of differences have emerged between modern and classic approaches to constituency parsing in recent years, with structural components like grammars and feature-rich lexicons becoming less central while recurrent neural network representations rise in popularity.$$$The goal of this work is to analyze the extent to which information provided directly by the model structure in classical systems is still being captured by neural methods.$$$To this end, we propose a high-performance neural model (92.08 F1 on PTB) that is representative of recent work and perform a series of investigative experiments.$$$We find that our model implicitly learns to encode much of the same information that was explicitly provided by grammars and lexicons in the past, indicating that this scaffolding can largely be subsumed by powerful general-purpose neural machinery.",BACKGROUND OBJECTIVES METHODS CONCLUSIONS
D01422,Univariate fractions can be transformed to mixed fractions in the equational theory of meadows of characteristic zero.,CONCLUSIONS
D06513,"In last decade, data analytics have rapidly progressed from traditional disk-based processing to modern in-memory processing.$$$However, little effort has been devoted at enhancing performance at micro-architecture level.$$$This paper characterizes the performance of in-memory data analytics using Apache Spark framework.$$$We use a single node NUMA machine and identify the bottlenecks hampering the scalability of workloads.$$$We also quantify the inefficiencies at micro-architecture level for various data analysis workloads.$$$Through empirical evaluation, we show that spark workloads do not scale linearly beyond twelve threads, due to work time inflation and thread level load imbalance.$$$Further, at the micro-architecture level, we observe memory bound latency to be the major cause of work time inflation.",BACKGROUND BACKGROUND OBJECTIVES METHODS OBJECTIVES RESULTS RESULTS/CONCLUSIONS
D05154,"We present a novel layerwise optimization algorithm for the learning objective of Piecewise-Linear Convolutional Neural Networks (PL-CNNs), a large class of convolutional neural networks.$$$Specifically, PL-CNNs employ piecewise linear non-linearities such as the commonly used ReLU and max-pool, and an SVM classifier as the final layer.$$$The key observation of our approach is that the problem corresponding to the parameter estimation of a layer can be formulated as a difference-of-convex (DC) program, which happens to be a latent structured SVM.$$$We optimize the DC program using the concave-convex procedure, which requires us to iteratively solve a structured SVM problem.$$$This allows to design an optimization algorithm with an optimal learning rate that does not require any tuning.$$$Using the MNIST, CIFAR and ImageNet data sets, we show that our approach always improves over the state of the art variants of backpropagation and scales to large data and large network settings.",OBJECTIVES METHODS METHODS METHODS CONCLUSIONS RESULTS
D01619,"Fault based testing is a technique in which test cases are chosen to reveal certain classes of faults.$$$At present, testing professionals use their personal experience to select testing methods for fault classes considered the most likely to be present.$$$However, there is little empirical evidence available in the open literature to support these intuitions.$$$By examining the source code changes when faults were fixed in seven open source software artifacts, we have classified bug fix patterns into fault classes, and recorded the relative frequencies of the identified fault classes.$$$This paper reports our findings related to ""if-conditional"" fixes.$$$We have classified the ""if-conditional"" fixes into fourteen fault classes and calculated their frequencies.$$$We found the most common fault class related to changes within a single ""atom"".$$$The next most common fault was the omission of an ""atom"".$$$We analysed these results in the context of Boolean specification testing.",BACKGROUND BACKGROUND/OBJECTIVES OBJECTIVES OBJECTIVES/METHODS OBJECTIVES METHODS RESULTS RESULTS CONCLUSIONS
D06432,"We propose an efficient Stereographic Projection Neural Network (SPNet) for learning representations of 3D objects.$$$We first transform a 3D input volume into a 2D planar image using stereographic projection.$$$We then present a shallow 2D convolutional neural network (CNN) to estimate the object category followed by view ensemble, which combines the responses from multiple views of the object to further enhance the predictions.$$$Specifically, the proposed approach consists of four stages: (1) Stereographic projection of a 3D object, (2) view-specific feature learning, (3) view selection and (4) view ensemble.$$$The proposed approach performs comparably to the state-of-the-art methods while having substantially lower GPU memory as well as network parameters.$$$Despite its lightness, the experiments on 3D object classification and shape retrievals demonstrate the high performance of the proposed method.",OBJECTIVES/METHODS BACKGROUND/METHODS BACKGROUND/METHODS METHODS RESULTS RESULTS
D03327,"The recently advancement in Wireless Sensor Network (WSN) technology has brought new distributed sensing applications such as water quality monitoring.$$$With sensing capabilities and using parameters like pH, conductivity and temperature, the quality of water can be known.$$$This paper proposes a novel design based on IEEE 802.15.4 (Zig-Bee protocol) and solar energy called Autonomous Water Quality Monitoring Prototype (AWQMP).$$$The prototype is designed to use ECHERP routing protocol and Adruino Mega 2560, an open-source electronic prototyping platform for data acquisition.$$$AWQMP is expected to give real time data acquirement and to reduce the cost of manual water quality monitoring due to its autonomous characteristic.$$$Moreover, the proposed prototype will help to study the behavior of aquatic animals in deployed water bodies.",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS CONCLUSIONS
D06672,"Inspired by Christopher Alexanders conception of the world - space is not lifeless or neutral but a living structure involving far more small things than large ones a topological representation has been previously developed to characterize the living structure or the wholeness of geographic space.$$$This paper further develops the topological representation and living structure for predicting human activities in geographic space.$$$Based on millions of street nodes of the United Kingdom extracted from OpenStreetMap, we established living structures at different levels of scale in a nested manner.$$$We found that tweet locations at different levels of scale, such as country and city, can be well predicted by the underlying living structure.$$$The high predictability demonstrates that the living structure and the topological representation are efficient and effective for better understanding geographic forms.$$$Based on this major finding, we argue that the topological representation is a truly multi-scale representation, and point out that existing geographic representations are essentially single scale, so they bear many scale problems such as modifiable areal unit problem, the conundrum of length, and the ecological fallacy.$$$We further discuss on why the living structure is an efficient and effective instrument for structuring geospatial big data, and why Alexanders organic worldview constitutes the third view of space.$$$Keywords: Organic worldview, topological representation, tweet locations, natural cities, scaling of geographic space",BACKGROUND OBJECTIVES BACKGROUND RESULTS RESULTS CONCLUSIONS CONCLUSIONS OTHERS
D03995,"External or internal domain-specific languages (DSLs) or (fluent) APIs?$$$Whoever you are -- a developer or a user of a DSL -- you usually have to choose your side; you should not!$$$What about metamorphic DSLs that change their shape according to your needs?$$$We report on our 4-years journey of providing the ""right"" support (in the domain of feature modeling), leading us to develop an external DSL, different shapes of an internal API, and maintain all these languages.$$$A key insight is that there is no one-size-fits-all solution or no clear superiority of a solution compared to another.$$$On the contrary, we found that it does make sense to continue the maintenance of an external and internal DSL.$$$The vision that we foresee for the future of software languages is their ability to be self-adaptable to the most appropriate shape (including the corresponding integrated development environment) according to a particular usage or task.$$$We call metamorphic DSL such a language, able to change from one shape to another shape.",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS RESULTS CONCLUSIONS CONCLUSIONS
D01098,"We introduce an exact reformulation of a broad class of neighborhood filters, among which the bilateral filters, in terms of two functional rearrangements: the decreasing and the relative rearrangements.$$$Independently of the image spatial dimension (one-dimensional signal, image, volume of images, etc.$$$), we reformulate these filters as integral operators defined in a one-dimensional space corresponding to the level sets measures.$$$We prove the equivalence between the usual pixel-based version and the rearranged version of the filter.$$$When restricted to the discrete setting, our reformulation of bilateral filters extends previous results for the so-called fast bilateral filtering.$$$We, in addition, prove that the solution of the discrete setting, understood as constant-wise interpolators, converges to the solution of the continuous setting.$$$Finally, we numerically illustrate computational aspects concerning quality approximation and execution time provided by the rearranged formulation.",BACKGROUND METHODS METHODS RESULTS BACKGROUND RESULTS RESULTS
D06126,"Learning controllers for bipedal robots is a challenging problem, often requiring expert knowledge and extensive tuning of parameters that vary in different situations.$$$Recently, deep reinforcement learning has shown promise at automatically learning controllers for complex systems in simulation.$$$This has been followed by a push towards learning controllers that can be transferred between simulation and hardware, primarily with the use of domain randomization.$$$However, domain randomization can make the problem of finding stable controllers even more challenging, especially for underactuated bipedal robots.$$$In this work, we explore whether policies learned in simulation can be transferred to hardware with the use of high-fidelity simulators and structured controllers.$$$We learn a neural network policy which is a part of a more structured controller.$$$While the neural network is learned in simulation, the rest of the controller stays fixed, and can be tuned by the expert as needed.$$$We show that using this approach can greatly speed up the rate of learning in simulation, as well as enable transfer of policies between simulation and hardware.$$$We present our results on an ATRIAS robot and explore the effect of action spaces and cost functions on the rate of transfer between simulation and hardware.$$$Our results show that structured policies can indeed be learned in simulation and implemented on hardware successfully.$$$This has several advantages, as the structure preserves the intuitive nature of the policy, and the neural network improves the performance of the hand-designed policy.$$$In this way, we propose a way of using neural networks to improve expert designed controllers, while maintaining ease of understanding.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS RESULTS RESULTS CONCLUSIONS CONCLUSIONS CONCLUSIONS
D02700,"Compressive sensing is a method to recover the original image from undersampled measurements.$$$In order to overcome the ill-posedness of this inverse problem, image priors are used such as sparsity in the wavelet domain, minimum total-variation, or self-similarity.$$$Recently, deep learning based compressive image recovery methods have been proposed and have yielded state-of-the-art performances.$$$They used deep learning based data-driven approaches instead of hand-crafted image priors to solve the ill-posed inverse problem with undersampled data.$$$Ironically, training deep neural networks for them requires ""clean"" ground truth images, but obtaining the best quality images from undersampled data requires well-trained deep neural networks.$$$To resolve this dilemma, we propose novel methods based on two well-grounded theories: denoiser-approximate message passing and Stein's unbiased risk estimator.$$$Our proposed methods were able to train deep learning based image denoisers from undersampled measurements without ground truth images and without image priors, and to recover images with state-of-the-art qualities from undersampled data.$$$We evaluated our methods for various compressive sensing recovery problems with Gaussian random, coded diffraction pattern, and compressive sensing MRI measurement matrices.$$$Our methods yielded state-of-the-art performances for all cases without ground truth images and without image priors.$$$They also yielded comparable performances to the methods with ground truth data.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS/RESULTS RESULTS/CONCLUSIONS CONCLUSIONS
D00317,In this contribution to the 3rd CHiME Speech Separation and Recognition Challenge (CHiME-3) we extend the acoustic front-end of the CHiME-3 baseline speech recognition system by a coherence-based Wiener filter which is applied to the output signal of the baseline beamformer.$$$To compute the time- and frequency-dependent postfilter gains the ratio between direct and diffuse signal components at the output of the baseline beamformer is estimated and used as approximation of the short-time signal-to-noise ratio.$$$The proposed spectral enhancement technique is evaluated with respect to word error rates of the CHiME-3 challenge baseline speech recognition system using real speech recorded in public environments.$$$Results confirm the effectiveness of the coherence-based postfilter when integrated into the front-end signal enhancement.,BACKGROUND/OBJECTIVES METHODS METHODS RESULTS/CONCLUSIONS
D01622,"Over the years the Artificial Intelligence (AI) community has produced several datasets which have given the machine learning algorithms the opportunity to learn various skills across various domains.$$$However, a subclass of these machine learning algorithms that aimed at learning logic programs, namely the Inductive Logic Programming algorithms, have often failed at the task due to the vastness of these datasets.$$$This has impacted the usability of knowledge representation and reasoning techniques in the development of AI systems.$$$In this research, we try to address this scalability issue for the algorithms that learn answer set programs.$$$We present a sound and complete algorithm which takes the input in a slightly different manner and performs an efficient and more user controlled search for a solution.$$$We show via experiments that our algorithm can learn from two popular datasets from machine learning community, namely bAbl (a question answering dataset) and MNIST (a dataset for handwritten digit recognition), which to the best of our knowledge was not previously possible.$$$The system is publicly available at https://goo.gl/KdWAcV.$$$This paper is under consideration for acceptance in TPLP.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES/METHODS/CONCLUSIONS RESULTS/CONCLUSIONS OTHERS OTHERS
D04748,"Accurate information of inertial parameters is critical to motion planning and control of space robots.$$$Before the launch, only a rudimentary estimate of the inertial parameters is available from experiments and computer-aided design (CAD) models.$$$After the launch, on-orbit operations substantially alter the value of inertial parameters.$$$In this work, we propose a new momentum model-based method for identifying the minimal parameters of a space robot while on orbit.$$$Minimal parameters are combinations of the inertial parameters of the links and uniquely define the momentum and dynamic models.$$$Consequently, they are sufficient for motion planning and control of both the satellite and robotic arms mounted on it.$$$The key to the proposed framework is the unique formulation of momentum model in the linear form of minimal parameters.$$$Further, to estimate the minimal parameters, we propose a novel joint trajectory planning and optimization technique based on direction combinations of joints' velocity.$$$The efficacy of the identification framework is demonstrated on a 12 degrees-of-freedom, spatial, dual-arm space robot.$$$The methodology is developed for tree-type space robots, requires just the pose and twist data, and scalable with increasing number of joints.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES BACKGROUND BACKGROUND METHODS METHODS RESULTS CONCLUSIONS
D03105,"The deployment of deep convolutional neural networks (CNNs) in many real world applications is largely hindered by their high computational cost.$$$In this paper, we propose a novel learning scheme for CNNs to simultaneously 1) reduce the model size; 2) decrease the run-time memory footprint; and 3) lower the number of computing operations, without compromising accuracy.$$$This is achieved by enforcing channel-level sparsity in the network in a simple but effective way.$$$Different from many existing approaches, the proposed method directly applies to modern CNN architectures, introduces minimum overhead to the training process, and requires no special software/hardware accelerators for the resulting models.$$$We call our approach network slimming, which takes wide and large networks as input models, but during training insignificant channels are automatically identified and pruned afterwards, yielding thin and compact models with comparable accuracy.$$$We empirically demonstrate the effectiveness of our approach with several state-of-the-art CNN models, including VGGNet, ResNet and DenseNet, on various image classification datasets.$$$For VGGNet, a multi-pass version of network slimming gives a 20x reduction in model size and a 5x reduction in computing operations.",BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS RESULTS
D02051,"This paper claims that a new field of empirical software engineering research and practice is emerging: data mining using/used-by optimizers for empirical studies, or DUO.$$$For example, data miners can generate the models that are explored by optimizers.Also, optimizers can advise how to best adjust the control parameters of a data miner.$$$This combined approach acts like an agent leaning over the shoulder of an analyst that advises ""ask this question next"" or ""ignore that problem, it is not relevant to your goals"".$$$Further, those agents can help us build ""better"" predictive models, where ""better"" can be either greater predictive accuracy, or faster modeling time (which, in turn, enables the exploration of a wider range of options).$$$We also caution that the era of papers that just use data miners is coming to an end.$$$Results obtained from an unoptimized data miner can be quickly refuted, just by applying an optimizer to produce a different (and better performing) model.$$$Our conclusion, hence, is that for software analytics it is possible, useful and necessary to combine data mining and optimization using DUO.",OBJECTIVES OTHERS METHODS METHODS CONCLUSIONS CONCLUSIONS CONCLUSIONS
D00976,"A pulse shape analysis framework is described, which was developed for n_TOF-Phase3, the third phase in the operation of the n_TOF facility at CERN.$$$The most notable feature of this new framework is the adoption of generic pulse shape analysis routines, characterized by a minimal number of explicit assumptions about the nature of pulses.$$$The aim of these routines is to be applicable to a wide variety of detectors, thus facilitating the introduction of the new detectors or types of detectors into the analysis framework.$$$The operational details of the routines are suited to the specific requirements of particular detectors by adjusting the set of external input parameters.$$$Pulse recognition, baseline calculation and the pulse shape fitting procedure are described.$$$Special emphasis is put on their computational efficiency, since the most basic implementations of these conceptually simple methods are often computationally inefficient.",BACKGROUND/RESULTS BACKGROUND/METHODS BACKGROUND/METHODS METHODS METHODS METHODS
D01506,"This paper presents a system based on a Two-Way Particle-Tracking Model to analyze possible crash positions of flight MH370.$$$The particle simulator includes a simple flow simulation of the debris based on a Lagrangian approach and a module to extract appropriated ocean current data from netCDF files.$$$The influence of wind, waves, immersion depth and hydrodynamic behavior are not considered in the simulation.",BACKGROUND METHODS METHODS
D01878,"In this paper, we develop a distributed intermittent communication and task planning framework for mobile robot teams.$$$The goal of the robots is to accomplish complex tasks, captured by local Linear Temporal Logic formulas, and share the collected information with all other robots and possibly also with a user.$$$Specifically, we consider situations where the robot communication capabilities are not sufficient to form reliable and connected networks while the robots move to accomplish their tasks.$$$In this case, intermittent communication protocols are necessary that allow the robots to temporarily disconnect from the network in order to accomplish their tasks free of communication constraints.$$$We assume that the robots can only communicate with each other when they meet at common locations in space.$$$Our distributed control framework jointly determines local plans that allow all robots fulfill their assigned temporal tasks, sequences of communication events that guarantee information exchange infinitely often, and optimal communication locations that minimize a desired distance metric.$$$Simulation results verify the efficacy of the proposed controllers.",OBJECTIVES OBJECTIVES OBJECTIVES OBJECTIVES OBJECTIVES METHODS/RESULTS RESULTS/CONCLUSIONS
D05557,"The Internet of Things (IoT) represents a comprehensive environment that consists of a large number of smart devices interconnecting heterogeneous physical objects to the Internet.$$$Many domains such as logistics, manufacturing, agriculture, urban computing, home automation, ambient assisted living and various ubiquitous computing applications have utilised IoT technologies.$$$Meanwhile, Business Process Management Systems (BPMS) have become a successful and efficient solution for coordinated management and optimised utilisation of resources/entities.$$$However, past BPMS have not considered many issues they will face in managing large scale connected heterogeneous IoT entities.$$$Without fully understanding the behaviour, capability and state of the IoT entities, the BPMS can fail to manage the IoT integrated information systems.$$$In this paper, we analyse existing BPMS for IoT and identify the limitations and their drawbacks based on Mobile Cloud Computing perspective.$$$Later, we discuss a number of open challenges in BPMS for IoT.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES
D06691,"In this paper, an online adaptation algorithm for bipedal walking on uneven surfaces with height uncertainty is proposed.$$$In order to generate walking patterns on flat terrains, the trajectories in the task space are planned to satisfy the dynamic balance and slippage avoidance constraints, and also to guarantee smooth landing of the swing foot.$$$To ensure smooth landing of the swing foot on surfaces with height uncertainty, the preplanned trajectories in the task space should be adapted.$$$The proposed adaptation algorithm consists of two stages.$$$In the first stage, once the swing foot reaches its maximum height, the supervisory control is initiated until the touch is detected.$$$After the detection, the trajectories in the task space are modified to guarantee smooth landing.$$$In the second stage, this modification is preserved during the Double Support Phase (DSP), and released in the next Single Support Phase (SSP).$$$Effectiveness of the proposed online adaptation algorithm is experimentally verified through realization of the walking patterns on the SURENA III humanoid robot, designed and fabricated at CAST.$$$The walking is tested on a surface with various flat obstacles, where the swing foot is prone to either land on the ground soon or late.",OBJECTIVES METHODS METHODS METHODS METHODS METHODS METHODS RESULTS RESULTS
D05313,"We present a uniform method for translating an arbitrary nondeterministic finite automaton (NFA) into a deterministic mass action input/output chemical reaction network (I/O CRN) that simulates it.$$$The I/O CRN receives its input as a continuous time signal consisting of concentrations of chemical species that vary to represent the NFA's input string in a natural way.$$$The I/O CRN exploits the inherent parallelism of chemical kinetics to simulate the NFA in real time with a number of chemical species that is linear in the size of the NFA.$$$We prove that the simulation is correct and that it is robust with respect to perturbations of the input signal, the initial concentrations of species, the output (decision), and the rate constants of the reactions of the I/O CRN.",RESULTS RESULTS METHODS RESULTS
